,No.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
167,168,1,4.0,0,3.0,1,4,3.0,8,2.0,2.0,1.0,2,1,2.0,3,2,3.0,3,2.0,2.0,3.0,2.0,3.0,2.0,3,3.0,3.0,2,2.0,7.0
168,169,1,3.0,0,3.0,2,4,3.0,6,2.0,1.0,1.0,3,0,3.0,3,3,3.0,4,2.0,2.0,2.0,2.0,3.0,3.0,4,3.0,3.0,2,2.0,7.0
169,170,2,5.0,1,3.0,1,2,3.0,11,2.0,1.0,2.0,2,3,2.0,2,2,3.0,2,2.0,2.0,3.0,1.0,1.0,2.0,2,1.0,2.0,2,2.0,5.0
170,171,1,5.0,0,3.0,1,6,3.0,12,4.0,4.0,2.0,1,4,3.0,5,3,4.0,3,5.0,5.0,5.0,3.0,4.0,3.0,5,5.0,5.0,5,5.0,0.0
172,173,1,2.0,0,3.0,2,3,5.0,9,2.0,1.0,2.0,2,2,3.0,3,3,3.0,3,3.0,2.0,3.0,3.0,2.0,3.0,3,4.0,3.0,4,2.0,7.0
173,174,2,4.0,0,3.0,1,2,8.0,11,2.0,4.0,2.0,1,4,5.0,5,3,3.0,3,3.0,3.0,3.0,3.0,2.0,1.0,3,4.0,2.0,2,5.0,5.0
174,175,1,6.0,0,1.0,1,3,3.0,14,3.0,1.0,2.0,1,2,1.0,3,2,4.0,4,2.0,2.0,2.0,1.0,3.0,3.0,2,3.0,2.0,3,1.0,8.0
175,176,2,1.0,0,2.0,1,4,3.0,15,1.0,1.0,1.0,2,1,1.0,2,1,1.0,1,2.0,2.0,1.0,2.0,2.0,1.0,1,2.0,3.0,2,1.0,9.0
176,177,2,2.0,0,2.0,1,9,3.0,3,1.0,4.0,2.0,1,2,2.0,2,2,2.0,3,3.0,2.0,3.0,2.0,4.0,2.0,2,3.0,2.0,2,2.0,7.0
177,178,1,2.0,0,1.0,1,9,3.0,3,1.0,4.0,2.0,2,1,4.0,4,3,4.0,3,3.0,3.0,3.0,5.0,3.0,3.0,4,3.0,3.0,3,3.0,6.0
178,179,1,6.0,0,3.0,1,3,3.0,11,2.0,1.0,2.0,1,2,2.0,2,2,2.0,4,2.0,2.0,2.0,2.0,2.0,3.0,2,3.0,3.0,3,2.0,6.0
179,180,2,5.0,0,3.0,1,3,3.0,11,2.0,1.0,2.0,1,8,3.0,5,3,3.0,2,3.0,3.0,3.0,2.0,2.0,2.0,2,3.0,2.0,2,2.0,8.0
182,183,2,1.0,0,3.0,1,4,3.0,15,1.0,4.0,2.0,2,0,1.0,2,2,1.0,2,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,3.0,2,2.0,8.0
183,184,2,4.0,0,3.0,1,1,3.0,12,2.0,1.0,1.0,1,5,2.0,2,2,3.0,3,2.0,3.0,3.0,2.0,2.0,2.0,3,4.0,3.0,2,2.0,8.0
184,185,2,4.0,0,3.0,1,2,3.0,12,2.0,1.0,1.0,2,4,4.0,3,3,3.0,3,3.0,2.0,5.0,1.0,3.0,3.0,2,3.0,3.0,4,4.0,6.0
185,186,2,5.0,0,3.0,1,2,7.0,11,2.0,4.0,2.0,1,4,3.0,3,3,3.0,2,2.0,2.0,2.0,2.0,2.0,2.0,4,3.0,3.0,3,2.0,7.0
186,187,2,2.0,0,3.0,1,5,3.0,12,2.0,4.0,1.0,1,1,5.0,5,5,5.0,3,3.0,4.0,4.0,3.0,4.0,3.0,3,5.0,3.0,2,2.0,10.0
187,188,1,2.0,0,3.0,1,5,8.0,9,2.0,1.0,1.0,2,1,3.0,3,3,2.0,3,3.0,3.0,3.0,2.0,2.0,2.0,2,2.0,2.0,3,1.0,8.0
189,190,1,5.0,0,3.0,1,5,3.0,11,2.0,4.0,2.0,1,1,3.0,4,2,3.0,3,3.0,4.0,4.0,2.0,4.0,3.0,5,5.0,5.0,5,2.0,6.0
190,191,1,2.0,0,1.0,1,10,3.0,3,2.0,1.0,1.0,4,0,2.0,3,2,2.0,3,3.0,2.0,2.0,2.0,3.0,3.0,3,3.0,2.0,2,2.0,7.0
191,192,2,2.0,0,3.0,1,4,8.0,8,1.0,2.0,2.0,3,1,3.0,3,3,2.0,3,3.0,4.0,3.0,3.0,2.0,3.0,2,4.0,3.0,2,2.0,6.0
